colsample_bytree,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,train_accuracy,val_accuracy,delta_accuracy,Selection
0.6915052325490831,8.0,4.0,2,27.0,0.11293021833522021,0.8110158343015719,0.8076165967294341,0.003399237572137781,0.0
0.8411738923858286,7.0,0.0,2,46.0,0.597406178444953,0.8090889595196257,0.8072228997224916,0.0018660597971340565,0.0
0.7581567291686458,14.0,6.0,2,26.0,0.9627734849994208,0.8116431888817405,0.8075589825332962,0.004084206348444308,0.0
0.7443173906789383,14.0,1.0,0,1.0,0.7831456737592514,0.8768752620645727,0.796497056874814,0.08037820518975869,0.0
0.7100509825495169,6.0,5.0,0,46.0,0.7412470403280976,0.8077190219670126,0.806147434727917,0.001571587239095673,0.0
0.6724352273780988,9.0,6.0,2,22.0,0.15133260933044124,0.8120656929867519,0.8072709115526066,0.0047947814341453565,0.0
0.612378799486309,12.0,3.0,0,49.0,0.09509540246188908,0.8078086440498939,0.8062338560221238,0.0015747880277701132,0.0
0.7864106325788003,11.0,6.0,1,30.0,0.08825378233292702,0.8099563732503688,0.8072997186506755,0.002656654599693331,0.0
0.7534581733018462,5.0,10.0,3,44.0,0.06933191587474608,0.8094378454851275,0.807722222755687,0.0017156227294405912,0.0
0.8876313119338959,16.0,9.0,1,18.0,0.659423957159533,0.8146359262922384,0.8068580098136181,0.00777791647862025,0.0
0.7571423177812816,9.0,2.0,1,44.0,0.041922703198497224,0.8085352230789666,0.8068196003495262,0.0017156227294404802,0.0
0.6992770058187925,4.0,7.0,3,16.0,0.23141631876724622,0.8102604481744302,0.807751029853756,0.002509418320674195,0.0
0.6665285953190717,7.0,10.0,3,50.0,0.2387340582915598,0.8091753808138326,0.8074725612390893,0.001702819574743275,0.0
0.6042683599996459,17.0,9.0,3,24.0,0.37702195372816416,0.8117904251607596,0.8072036949904456,0.0045867301703139685,0.0
0.9159144963812301,16.0,5.0,1,4.0,0.48785991351925606,0.8480009474334476,0.799723451858538,0.04827749557490957,0.0
0.6833967654402726,12.0,2.0,3,19.0,0.7328883415390129,0.8139637606706293,0.8070212500360089,0.006942510634620369,0.0
0.9656280006879705,13.0,3.0,2,13.0,0.9179926837729387,0.8172765769485602,0.8056577140607446,0.011618862887815551,0.0
0.6551521353836428,13.0,9.0,0,48.0,0.31041678275827234,0.8078470535139859,0.8062530607541698,0.0015939927598160875,0.0
0.7039668720947455,14.0,5.0,0,33.0,0.6958328648346856,0.808800888538936,0.8065315293688364,0.0022693591700995164,0.0
0.9884492579859885,7.0,1.0,0,5.0,0.09792634165324654,0.8205797908604681,0.8057825448190434,0.014797246041424628,0.0
0.8140375516403583,3.0,8.0,3,40.0,0.24098281715771022,0.8091913847572042,0.8079814866383077,0.0012098981188964908,0.0
0.8285863231906544,3.0,8.0,3,37.0,0.3814231408927703,0.8092393965873191,0.8079334748081928,0.0013059217791263622,0.0
0.849875194894929,3.0,8.0,3,38.0,0.4613450533376839,0.8091369713497406,0.8078566558800089,0.0012803154697317298,0.0
0.8170467726455889,3.0,8.0,3,38.0,0.3970984783636279,0.809130569772392,0.8078470535139859,0.0012835162584060589,0.0
0.9069095305007616,4.0,7.0,3,37.0,0.5502575001037572,0.809549873088729,0.8077318251217099,0.0018180479670191207,0.0
0.8698362223323816,5.0,8.0,3,41.0,0.24784945938559083,0.8096747038470279,0.807712620389664,0.001962083457363928,0.0
0.8013802535871767,4.0,7.0,3,33.0,0.34612342200255564,0.8098635503788133,0.8079430771742158,0.0019204732045975392,0.0
0.9523611911740065,5.0,7.0,3,32.0,0.18580494541144493,0.810190030823595,0.8078854629780778,0.002304567845517136,0.0
0.7961685851682738,9.0,4.0,3,28.0,0.3156312317851065,0.8113807242104455,0.807770234585802,0.003610489624643498,0.0
0.7835361011051029,4.0,7.0,3,33.0,0.46159501019482946,0.8098251409147214,0.8080102937363767,0.0018148471783446807,best
0.8573601654058017,8.0,10.0,2,41.0,0.613903541277495,0.809335420247549,0.8072613091865836,0.0020741110609654445,0.0
0.72471419840918,6.0,6.0,3,11.0,0.44809871545521035,0.8143574576775717,0.806973238205894,0.007384219471677778,0.0
0.7706577596361727,10.0,9.0,2,28.0,0.004122934130072586,0.8109774248374799,0.8075109707031812,0.003466454134298691,0.0
0.6296320430554798,6.0,4.0,3,35.0,0.17310535859523632,0.8100748024313191,0.8077318251217099,0.0023429773096091955,0.0
0.7357417206046521,8.0,6.0,1,41.0,0.5324850277590967,0.8088617035237482,0.8068292027155491,0.002032500808199056,0.0
0.829434349440778,4.0,7.0,2,23.0,0.5976124117452933,0.8096490975376333,0.8075877896313651,0.0020613079062681283,0.0
0.7786940584235904,7.0,8.0,3,30.0,0.909641146716843,0.8108333893471351,0.8078854629780778,0.0029479263690572743,0.0
0.8851343677481334,10.0,4.0,0,45.0,0.8355555429287371,0.8078502543026602,0.8064163009765606,0.001433953326099635,0.0
0.9292500743219576,5.0,6.0,3,26.0,0.2747506408752913,0.8109742240488056,0.8079046677101238,0.003069556338681778,0.0
0.8097807912317154,3.0,9.0,1,21.0,0.4346537622951496,0.8087848845955643,0.8073381281147675,0.0014467564807968403,0.0
0.7201354970321157,6.0,10.0,2,48.0,0.14328662841858714,0.8090025382254188,0.8070788642321468,0.0019236739932719793,0.0
0.7693567268572825,11.0,5.0,3,30.0,0.8092335860122025,0.8110702477090355,0.8079142700761468,0.0031559776328886624,0.0
0.8732411282872508,7.0,7.0,1,42.0,0.5087368704429907,0.8086376483165452,0.8067043719572503,0.0019332763592948554,0.0
0.6410409909803959,15.0,6.0,0,35.0,0.002667069555738144,0.808480809671503,0.8065123246367905,0.001968485034712586,0.0
0.830290603164636,9.0,9.0,3,46.0,0.566355104707407,0.8094442470624762,0.8076165967294341,0.0018276503330421079,0.0
0.7447984624892457,5.0,3.0,3,43.0,0.04014863127850532,0.8095306683566831,0.807674210925572,0.0018564574311110693,0.0
0.7894011851120953,4.0,10.0,1,20.0,0.6612544240995908,0.8096554991149819,0.8076069943634111,0.002048504751570812,0.0
0.8428419760689362,17.0,6.0,2,24.0,0.4170193074385555,0.8117904251607596,0.80689641927771,0.004894005883049557,0.0
0.689088048277097,18.0,0.0,3,17.0,0.20364319237400175,0.8158874346639012,0.806915624009756,0.008971810654145207,0.0
0.8956454045962896,8.0,8.0,0,35.0,0.13453714855832488,0.8084648057281314,0.8063970962445146,0.0020677094836167864,0.0
